step,mean_reward,mean_sinr_db,mean_Te2E,avg_Tloc,avg_Ttx,avg_TQ,avg_Tcpu
76,1.668741,10.0857,3.241792e-01,6.666667e-04,3.217898e-01,1.667222e-03,5.555556e-05
77,2.264025,13.6023,3.368334e-01,2.666667e-04,3.362112e-01,3.333556e-04,2.222222e-05
78,1.378710,4.6259,1.756219e-01,1.333333e-04,1.751441e-01,3.333556e-04,1.111111e-05
79,4.158102,22.3239,1.646293e-01,5.333333e-04,1.627178e-01,1.333689e-03,4.444444e-05
80,1.568613,10.1254,3.338111e-01,1.333333e-04,3.333333e-01,3.333556e-04,1.111111e-05
81,1.730428,5.0218,1.882476e-02,2.666667e-04,1.786912e-02,6.667556e-04,2.222222e-05
82,1.581385,7.5284,7.600300e-02,5.333333e-04,7.409154e-02,1.333689e-03,4.444444e-05
83,2.554674,13.1865,6.898272e-03,2.666667e-04,5.942628e-03,6.667556e-04,2.222222e-05
84,1.554395,7.6672,3.439947e-01,4.000000e-04,3.418942e-01,1.667222e-03,3.333333e-05
85,1.264259,4.1005,3.646028e-01,5.333333e-04,3.630248e-01,1.000200e-03,4.444444e-05
86,1.354348,5.0136,2.523727e-01,5.333333e-04,2.504612e-01,1.333689e-03,4.444444e-05
87,0.733246,0.3663,2.140024e-01,4.000000e-04,2.125689e-01,1.000200e-03,3.333333e-05
88,2.738381,20.7927,6.564276e-01,6.666667e-04,6.540381e-01,1.667222e-03,5.555556e-05
89,1.176492,4.0003,3.414193e-01,4.000000e-04,3.399858e-01,1.000200e-03,3.333333e-05
90,1.805004,6.5026,1.069992e-01,6.666667e-04,1.046098e-01,1.667222e-03,5.555556e-05
91,1.995459,14.1126,6.689117e-01,5.333333e-04,6.666667e-01,1.667222e-03,4.444444e-05
92,2.352216,17.4485,6.739033e-01,8.000000e-04,6.713694e-01,1.667222e-03,6.666667e-05
93,0.984221,1.7007,2.454716e-02,2.666667e-04,2.392491e-02,3.333556e-04,2.222222e-05
94,1.465449,4.2206,5.402554e-02,4.000000e-04,5.259201e-02,1.000200e-03,3.333333e-05
95,1.499251,5.0781,7.021041e-02,2.666667e-04,6.925476e-02,6.667556e-04,2.222222e-05
96,2.253398,12.8352,2.072004e-02,4.000000e-04,1.928650e-02,1.000200e-03,3.333333e-05
97,0.850182,0.9589,8.148203e-02,4.000000e-04,7.938148e-02,1.667222e-03,3.333333e-05
98,2.412353,9.3840,1.999808e-02,2.666667e-04,1.970919e-02,0.000000e+00,2.222222e-05
99,2.947218,15.5142,1.044560e-02,2.666667e-04,9.489958e-03,6.667556e-04,2.222222e-05
100,1.252969,3.4309,1.214037e-01,4.000000e-04,1.199701e-01,1.000200e-03,3.333333e-05
101,1.726676,7.7293,8.475118e-02,4.000000e-04,8.331765e-02,1.000200e-03,3.333333e-05
102,2.345055,11.6151,8.781950e-03,1.333333e-04,8.304150e-03,3.333556e-04,1.111111e-05
103,2.196623,15.3640,8.430072e-02,4.000000e-04,8.253369e-02,1.333689e-03,3.333333e-05
104,1.862908,12.9864,6.712102e-01,5.333333e-04,6.696322e-01,1.000200e-03,4.444444e-05
105,1.407360,7.6261,3.776654e-01,4.000000e-04,3.762318e-01,1.000200e-03,3.333333e-05
106,1.478823,4.7722,4.536851e-02,4.000000e-04,4.393497e-02,1.000200e-03,3.333333e-05
107,2.254812,8.9468,1.768584e-02,4.000000e-04,1.591882e-02,1.333689e-03,3.333333e-05
108,3.754938,30.1403,6.715290e-01,5.333333e-04,6.696175e-01,1.333689e-03,4.444444e-05
109,1.890920,6.4316,3.168287e-02,2.666667e-04,3.106063e-02,3.333556e-04,2.222222e-05
110,1.127184,2.3363,7.585623e-02,6.666667e-04,7.313320e-02,2.000800e-03,5.555556e-05
111,1.402931,8.1962,2.508463e-01,4.000000e-04,2.497462e-01,6.667556e-04,3.333333e-05
112,2.359509,11.4415,3.338111e-01,1.333333e-04,3.333333e-01,3.333556e-04,1.111111e-05
113,1.932328,13.1941,4.552364e-01,5.333333e-04,4.529914e-01,1.667222e-03,4.444444e-05
114,1.134109,3.6289,6.403390e-02,4.000000e-04,6.293382e-02,6.667556e-04,3.333333e-05
115,1.184594,2.8116,3.729549e-02,4.000000e-04,3.552847e-02,1.333689e-03,3.333333e-05
116,1.221619,2.8834,5.479568e-02,5.333333e-04,5.321770e-02,1.000200e-03,4.444444e-05
117,0.809887,0.7695,3.858981e-02,1.333333e-04,3.811201e-02,3.333556e-04,1.111111e-05
118,3.104813,13.2766,1.217630e-02,4.000000e-04,1.074277e-02,1.000200e-03,3.333333e-05
119,2.436223,9.2881,8.848041e-02,5.333333e-04,8.623541e-02,1.667222e-03,4.444444e-05
120,0.700377,-0.1538,1.272372e-01,6.666667e-04,1.251813e-01,1.333689e-03,5.555556e-05
121,1.940826,9.8937,4.170112e-03,1.333333e-04,3.692312e-03,3.333556e-04,1.111111e-05
122,1.389210,8.1414,4.850272e-01,5.333333e-04,4.827822e-01,1.667222e-03,4.444444e-05
123,1.581991,5.7898,1.042100e-01,5.333333e-04,1.019650e-01,1.667222e-03,4.444444e-05
124,2.901080,13.0034,1.007023e-02,2.666667e-04,9.781338e-03,0.000000e+00,2.222222e-05
125,2.382938,9.8691,1.691848e-02,4.000000e-04,1.548494e-02,1.000200e-03,3.333333e-05
126,1.122107,4.8790,1.556858e-01,2.666667e-04,1.547302e-01,6.667556e-04,2.222222e-05
127,1.004408,1.9787,3.755833e-02,4.000000e-04,3.612480e-02,1.000200e-03,3.333333e-05
128,1.186390,5.0915,2.299847e-01,4.000000e-04,2.285511e-01,1.000200e-03,3.333333e-05
129,1.470958,4.9701,2.270150e-01,6.666667e-04,2.242919e-01,2.000800e-03,5.555556e-05
130,1.143984,5.5485,4.372376e-01,4.000000e-04,4.361376e-01,6.667556e-04,3.333333e-05
131,1.762449,6.6283,3.556535e-01,6.666667e-04,3.529305e-01,2.000800e-03,5.555556e-05
132,1.221972,3.2785,1.493480e-02,1.333333e-04,1.479036e-02,0.000000e+00,1.111111e-05
133,1.829839,12.0064,1.564887e-01,4.000000e-04,1.547216e-01,1.333689e-03,3.333333e-05
134,1.462057,7.8717,3.342890e-01,2.666667e-04,3.333333e-01,6.667556e-04,2.222222e-05
135,1.790173,6.9655,4.875535e-02,2.666667e-04,4.813311e-02,3.333556e-04,2.222222e-05
136,2.386409,11.6321,8.930946e-03,1.333333e-04,8.453146e-03,3.333556e-04,1.111111e-05
137,1.577432,9.1583,3.435807e-01,5.333333e-04,3.410021e-01,2.000800e-03,4.444444e-05
138,1.979935,6.3077,4.944392e-02,6.666667e-04,4.772150e-02,1.000200e-03,5.555556e-05
139,1.832069,6.2383,1.447851e-02,1.333333e-04,1.400071e-02,3.333556e-04,1.111111e-05
140,2.308497,14.4188,3.561696e-01,4.000000e-04,3.547360e-01,1.000200e-03,3.333333e-05
141,0.784165,1.8352,4.788030e-01,8.000000e-04,4.759356e-01,2.000800e-03,6.666667e-05
142,1.126702,4.4974,3.789560e-01,6.666667e-04,3.765665e-01,1.667222e-03,5.555556e-05
143,3.092669,12.6968,8.168008e-02,2.666667e-04,8.072443e-02,6.667556e-04,2.222222e-05
144,2.059111,14.1263,3.261509e-03,1.333333e-04,2.783709e-03,3.333556e-04,1.111111e-05
145,2.652311,14.2096,1.534856e-02,4.000000e-04,1.391502e-02,1.000200e-03,3.333333e-05
146,1.498336,7.1557,3.725707e-01,4.000000e-04,3.711372e-01,1.000200e-03,3.333333e-05
147,4.125356,18.2241,2.892383e-03,1.333333e-04,2.414583e-03,3.333556e-04,1.111111e-05
148,1.641025,5.9717,2.185106e-02,4.000000e-04,2.041752e-02,1.000200e-03,3.333333e-05
149,2.614523,13.6669,2.341025e-02,4.000000e-04,2.164323e-02,1.333689e-03,3.333333e-05
150,2.480965,15.8998,3.409918e-01,5.333333e-04,3.384132e-01,2.000800e-03,4.444444e-05
151,1.535074,6.9774,3.696491e-01,5.333333e-04,3.684046e-01,6.667556e-04,4.444444e-05
152,1.768890,6.3654,1.561086e-01,5.333333e-04,1.541971e-01,1.333689e-03,4.444444e-05
153,2.138119,11.6893,1.105242e-01,6.666667e-04,1.081348e-01,1.667222e-03,5.555556e-05
154,1.343480,4.2909,1.708735e-02,2.666667e-04,1.646510e-02,3.333556e-04,2.222222e-05
155,1.873032,6.6962,1.262626e-01,8.000000e-04,1.230615e-01,2.334423e-03,6.666667e-05
156,1.402336,7.5831,4.190520e-01,4.000000e-04,4.179519e-01,6.667556e-04,3.333333e-05
157,1.119960,3.0078,1.559142e-01,4.000000e-04,1.544807e-01,1.000200e-03,3.333333e-05
158,2.583505,11.0025,5.591847e-03,1.333333e-04,5.114047e-03,3.333556e-04,1.111111e-05
159,2.265401,14.9056,3.661881e-01,4.000000e-04,3.647546e-01,1.000200e-03,3.333333e-05
160,1.619218,6.1781,3.342890e-01,2.666667e-04,3.333333e-01,6.667556e-04,2.222222e-05
161,1.775523,6.7333,1.964081e-02,4.000000e-04,1.820727e-02,1.000200e-03,3.333333e-05
162,0.678134,-0.0652,1.477283e-01,5.333333e-04,1.458168e-01,1.333689e-03,4.444444e-05
163,1.767203,9.7746,1.313417e-01,5.333333e-04,1.294302e-01,1.333689e-03,4.444444e-05
164,1.857487,10.2456,6.541619e-02,2.666667e-04,6.446055e-02,6.667556e-04,2.222222e-05
165,1.631971,6.5592,2.465019e-01,5.333333e-04,2.445905e-01,1.333689e-03,4.444444e-05
166,1.073826,4.8525,1.847038e-01,5.333333e-04,1.827923e-01,1.333689e-03,4.444444e-05
167,1.633970,10.4379,4.475013e-01,4.000000e-04,4.460678e-01,1.000200e-03,3.333333e-05
168,1.304834,7.5098,3.386235e-01,2.666667e-04,3.376678e-01,6.667556e-04,2.222222e-05
169,1.260373,4.0030,4.511992e-02,4.000000e-04,4.335290e-02,1.333689e-03,3.333333e-05
170,1.238611,3.8055,1.018240e-01,6.666667e-04,9.976811e-02,1.333689e-03,5.555556e-05
171,1.540494,5.3243,3.580114e-01,6.666667e-04,3.556219e-01,1.667222e-03,5.555556e-05
172,1.511512,5.5779,6.835507e-02,5.333333e-04,6.644360e-02,1.333689e-03,4.444444e-05
173,1.592285,4.8787,4.372969e-02,4.000000e-04,4.229616e-02,1.000200e-03,3.333333e-05
174,0.608311,-0.0422,4.425467e-01,8.000000e-04,4.386782e-01,3.001801e-03,6.666667e-05
